ablation_type,ablation_details,pearson_corr,spearman_corr,pearson_delta,spearman_delta,pearson_p_value,spearman_p_value,pearson_ci_lower,pearson_ci_upper,spearman_ci_lower,spearman_ci_upper,pearson_mean_diff,spearman_mean_diff,observed_pearson_diff,observed_spearman_diff,pearson_mean_diff_boot,pearson_ci_95,pearson_p_value_boot,pearson_p_value_perm,spearman_mean_diff_boot,spearman_ci_95,spearman_p_value_boot,spearman_p_value_perm
dino_dim,dim_193,0.9580625336005271,0.9540582577214977,-1.3468346371059425e-05,-9.361001957042259e-05,,,,,,,,,-1.3468346371059425e-05,-9.361001957042259e-05,-1.3490836593055888e-05,"(np.float64(-0.000289523539239715), np.float64(0.00026320827825151777))",0.9997,0.9057,-9.38288684772822e-05,"(np.float64(-0.00032300537393255003), np.float64(0.00014289801872737173))",0.9984,0.2959
dino_dim,dim_194,0.9580409525216332,0.9540101294629224,-3.504942526488808e-05,-0.00014173827814567552,,,,,,,,,-3.504942526488808e-05,-0.00014173827814567552,-3.490508539149167e-05,"(np.float64(-0.00011333379690689927), np.float64(3.7837391201768445e-05))",0.9968,0.2145,-0.00014148027171153354,"(np.float64(-0.00028623833259211695), np.float64(-5.221375673453795e-06))",0.9974,0.002
dino_dim,dim_195,0.9579819135453994,0.9540828012159105,-9.408840149871533e-05,-6.90665251575906e-05,,,,,,,,,-9.408840149871533e-05,-6.90665251575906e-05,-9.444120212339917e-05,"(np.float64(-0.0002328288333618994), np.float64(3.8557821370484875e-05))",0.9958,0.0786,-6.837001703245621e-05,"(np.float64(-0.00026348044800086456), np.float64(0.00012483916656262487))",0.9939,0.3249
dino_dim,dim_196,0.9580377737342678,0.9541248101870416,-3.822821263033127e-05,-2.705755402643284e-05,,,,,,,,,-3.822821263033127e-05,-2.705755402643284e-05,-3.771789184005622e-05,"(np.float64(-0.00015351211848848133), np.float64(7.522183167635606e-05))",0.9904,0.3905,-2.680704041104949e-05,"(np.float64(-0.00021792857722402413), np.float64(0.00015980052639144585))",0.9975,0.6891
dino_dim,dim_197,0.9581239851524195,0.9541376692350594,4.798320552135138e-05,-1.4198506008700207e-05,,,,,,,,,4.798320552135138e-05,-1.4198506008700207e-05,4.812744194903276e-05,"(np.float64(-0.0001015732134464431), np.float64(0.00019452894775033594))",0.9981,0.4063,-1.3079837135670447e-05,"(np.float64(-0.0002569136200295752), np.float64(0.00023504063829981657))",0.9921,0.8801
dino_dim,dim_198,0.9580795010580087,0.954189039196509,3.4991111105275863e-06,3.717145544090972e-05,,,,,,,,,3.4991111105275863e-06,3.717145544090972e-05,3.703654707938908e-06,"(np.float64(-0.00013884413839827857), np.float64(0.0001479921129455681))",0.9964,0.9531,3.7257321383213546e-05,"(np.float64(-0.0001788768771134003), np.float64(0.00025976655678832083))",0.9994,0.6422
dino_dim,dim_199,0.9581024260251695,0.9541242055345001,2.642407827135873e-05,-2.7662206568024317e-05,,,,,,,,,2.642407827135873e-05,-2.7662206568024317e-05,2.6580597067150203e-05,"(np.float64(-0.00010600259523609379), np.float64(0.0001659217966132429))",0.9978,0.616,-2.6937421551440564e-05,"(np.float64(-0.00023062653416109136), np.float64(0.00018751542419540504))",0.9928,0.7099
dino_dim,dim_200,0.9581327273927668,0.9542153123122457,5.672544586865502e-05,6.34445711775733e-05,,,,,,,,,5.672544586865502e-05,6.34445711775733e-05,5.600246925113048e-05,"(np.float64(-9.273795452669986e-05), np.float64(0.00020732050230955779))",0.9904,0.3522,6.291168687379202e-05,"(np.float64(-0.0001380935131803368), np.float64(0.000273405480621074))",0.9952,0.3875
dino_dim,dim_201,0.958055146808394,0.9540857917506369,-2.0855138504138893e-05,-6.607599043118029e-05,,,,,,,,,-2.0855138504138893e-05,-6.607599043118029e-05,-2.0441783177892882e-05,"(np.float64(-0.00013767969442778137), np.float64(9.741062928067559e-05))",0.9946,0.6483,-6.441583949645709e-05,"(np.float64(-0.0002516684991318058), np.float64(0.00013296891332166582))",0.9843,0.3384
dino_dim,dim_202,0.9580327193699427,0.954143589859729,-4.3282576955405716e-05,-8.277881339058268e-06,,,,,,,,,-4.3282576955405716e-05,-8.277881339058268e-06,-4.307236607896714e-05,"(np.float64(-0.00020084516916015705), np.float64(0.00011466650388674292))",0.9967,0.4902,-8.084647222851982e-06,"(np.float64(-0.0002557340828386023), np.float64(0.00023900632937158447))",0.9982,0.9284
